id,characters,LastName,Teams,Villages,Gender,Age,Ninja Rank,number of jutsu,Date of birth,Nature Type,Tailed Beast,Clan,Anime,Status,Rogue Ninja
1,Naruto Uzumaki,Uzumaki,7,Konoha,Male,33,Kage,70,10-Oct,Wind Release,Kyubi,Uzumaki Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
2,Sasuke Uchiha,Uchiha,7,Konoha,Male,33,Genin,71,23-Jul,Fire Release ,No,Uchiha Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
3,Sakura Haruno,Haruno,7,Konoha,Female,32,Jōnin,16,28-Mar,Earth Release,No,Haruno Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
4,Kakashi Hatake,Hatake,7,Konoha,Male,48,Kage,43,15-Sep,Lightning Release,No,Hatake Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
5,Hinata Hyuga,Hyuga,8,Konoha,Female,32,Chūnin,14,27-Dec,Fire Release,No,Hyuga Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
6,Shino Aburame,Aburame,8,Konoha,Male,33,Chūnin,14,23-Jan,Earth Release,No,Aburame Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
7,Kiba Inuzuka,Inuzuka,8,Konoha,Male,33,Chūnin,13,7-Jul,Earth Release,No,Inuzuka Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
8,Kurenai Yuhi,Yuhi,8,Konoha,Female,47,Jōnin,7,11-Jun,Yin Release,No,Sarutobi Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
9,Shikamaru Nara,Nara,10,Konoha,Male,33,Jōnin,12,22-Sep,Yin Release,No,Nara Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
10,Choji Akimichi,Akimichi,10,Konoha,Male,33,Chūnin,15,1-May,Earth Release,No,Akimichi Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
11,Ino Yamanaka,Yamanaka,10,Konoha,Female,32,Chūnin,14,23-Sep,Yin Release,No,Yamanaka Clan,"Naruto,Naruto Shippuden,Boruto",Alive,No
